<<<<<<< HEAD
编号,名称,主,副,组别,魔力值,精力,物攻,防御,魔攻,魔抗,速度,总和,简介
0,年糕，萌，草，精灵组，0，10，0，0，0，0，10，20，张总的神秘宠物，一直在挑衅主人。
1,喵喵,草,无,精灵组,0,45,49,49,65,65,45,318,不停摇晃的尾巴，容易受到惊吓，平时很乖巧。
2,喵呜,草,无,精灵组,0,60,62,63,80,80,60,405,长了两条锋利的尾巴，经常吐出舌头挑衅对手，瘦弱的身体撞击强而有力。
3,魔力猫,草,无,精灵组,4,80,82,83,100,100,80,525,长了三条锋利的尾巴，胖胖的身体经常会用身体冲撞碾压对手。
4,火花,火,无,精灵组,0,39,52,43,60,50,65,309,长大可以喷出火焰，现在已经可以熟练使用火花。
5,焰火,火,无,精灵组,0,58,64,58,80,65,80,405,长出蓝色的小翅膀，双拳拥有强力的火焰。
6,火神,火,翼,精灵组,0,78,84,78,109,85,100,534,炙热的火焰包围全身熊熊燃烧，能够喷射出大量火焰燃烧一切。
7,水蓝蓝,水,无,精灵组,0,44,48,65,50,64,43,314,喜欢漂浮在水中，没事吐个泡泡，头顶有个可爱的蝴蝶结。
8,波波拉,水,无,精灵组,0,59,63,80,65,80,58,405,头上的触角可以感受水中的变化，体形变大了很多长满了小触角。
9,水灵,水,无,精灵组,0,79,83,100,85,105,78,530,随时都带着刚刚长大的孩子，擅长吸收水分形成强大的冲击力。
10,蹦蹦种子,草,毒,植物组,0,45,49,49,65,65,45,318,背上的神奇的种子，它会慢慢发芽长大，最后开出美丽的大大的花。
11,蹦蹦草,草,毒,植物组,0,60,62,63,80,80,60,405,一朵美丽的花蕾长在它的身上，随时都可能开放哦。
12,蹦蹦花,草,毒,植物组,0,80,82,83,100,100,80,525,身上开着巨大的花，拥有着自然赋予的神秘力量。
13,火苗龙,火,无,天空组,0,39,52,43,60,50,65,309,据说是长大可以喷出火焰，正在学习控制火焰呢。
14,烈焰龙,火,无,天空组,0,58,64,58,80,65,80,405,尾巴上有一束小火苗，脾气很大，很坚强哦。
